广东频道,#genre#
CCTV-9,http://171.213.133.3:9999/rtp/239.93.1.24:5140
CCTV-9,http://114.246.102.14:4000/rtp/239.3.1.62:8112
CCTV-9,http://27.11.56.206:8007/rtp/225.0.4.131:7980
CCTV-10,http://60.7.56.33:4000/rtp/239.253.92.196:6061$1920x1080
CCTV-10,http://sweetown.fun:4000/rtp/239.3.1.63:8116$1920x1080
CCTV-10,http://111.193.230.4:4022/rtp/239.3.1.63:8116
CCTV-10,http://115.60.241.249:2000/rtp/225.1.4.78:1107
CCTV-10,http://115.60.241.249:2000/rtp/225.1.4.10:1039
CCTV-10,http://118.81.48.104:8082/rtp/226.0.2.162:9208
CCTV-10,http://118.81.48.104:8082/rtp/226.0.2.27:8128
CCTV-10,http://27.10.76.34:8001/rtp/225.0.4.130:7980
CCTV-10,http://27.10.76.34:8006/rtp/225.0.4.130:7980
CCTV-10,http://27.10.74.78:8005/rtp/225.0.4.130:7980
CCTV-10,http://111.165.222.109:8000/rtp/225.1.1.140:5002
CCTV-10,http://171.105.201.164:4022/rtp/239.81.0.22:4056
CCTV-10,http://171.213.133.3:9999/rtp/239.93.1.28:5140
CCTV-10,http://114.246.102.14:4000/rtp/239.3.1.63:8116
CCTV-10,http://27.11.56.206:8007/rtp/225.0.4.130:7980
CCTV-11,http://sweetown.fun:4000/rtp/239.3.1.152:8120$1920x1080
CCTV-11,http://111.193.230.4:4022/rtp/239.3.1.152:8120
CCTV-11,http://115.60.241.249:2000/rtp/225.1.4.215:1268
CCTV-11,http://115.60.241.249:2000/rtp/225.1.4.11:1040
CCTV-11,http://118.81.48.104:8082/rtp/226.0.2.28:8136
CCTV-11,http://27.10.76.34:8001/rtp/225.0.4.218:7980
CCTV-11,http://27.10.76.34:8006/rtp/225.0.4.218:7980
CCTV-11,http://27.10.74.78:8005/rtp/225.0.4.218:7980
CCTV-11,http://111.165.222.109:8000/rtp/225.1.2.192:5002
CCTV-11,http://171.105.201.164:4022/rtp/239.81.0.23:4056
CCTV-11,http://171.213.133.3:9999/rtp/239.93.0.102:5140
CCTV-11,http://114.246.102.14:4000/rtp/239.3.1.152:8120
CCTV-11,http://27.11.56.206:8007/rtp/225.0.4.218:7980
CCTV-11,http://171.116.35.81:8003/rtp/226.0.2.28:8136
CCTV-11,http://27.11.56.206:8002/rtp/225.0.4.218:7980
CCTV-12,http://sweetown.fun:4000/rtp/239.3.1.64:8124$1920x1080
CCTV-12,http://111.193.230.4:4022/rtp/239.3.1.64:8124
CCTV-12,http://115.60.241.249:2000/rtp/225.1.4.79:1108
CCTV-12,http://115.60.241.249:2000/rtp/225.1.4.12:1041
CCTV-12,http://118.81.48.104:8082/rtp/226.0.2.164:9224
CCTV-12,http://118.81.48.104:8082/rtp/226.0.2.29:8144
CCTV-12,http://27.10.76.34:8001/rtp/225.0.4.129:7980
CCTV-12,http://27.10.76.34:8006/rtp/225.0.4.129:7980
CCTV-12,http://27.10.74.78:8005/rtp/225.0.4.129:7980
CCTV-12,http://111.165.222.109:8000/rtp/225.1.1.142:5002
CCTV-12,http://171.105.201.164:4022/rtp/239.81.0.24:4056
CCTV-12,http://171.213.133.3:9999/rtp/239.93.1.30:8124
CCTV-12,http://114.246.102.14:4000/rtp/239.3.1.64:8124
CCTV-12,http://27.11.56.206:8007/rtp/225.0.4.129:7980
CCTV-12,http://171.116.35.81:8003/rtp/226.0.2.164:9224
CCTV-13,http://60.7.56.33:4000/rtp/239.253.92.13:8008$1920x1080
CCTV-13,http://sweetown.fun:4000/rtp/239.3.1.124:8128$1920x1080
CCTV-13,http://111.193.230.4:4022/rtp/239.3.1.124:8128
CCTV-13,http://115.60.241.249:2000/rtp/225.1.4.113:1293
CCTV-13,http://115.60.241.249:2000/rtp/225.1.4.13:1042
CCTV-13,http://118.81.48.104:8082/rtp/226.0.2.165:9232
CCTV-13,http://118.81.48.104:8082/rtp/226.0.2.30:8152
CCTV-13,http://27.10.76.34:8001/rtp/225.0.4.219:7980
CCTV-13,http://27.10.76.34:8006/rtp/225.0.4.219:7980
CCTV-13,http://27.10.74.78:8005/rtp/225.0.4.219:7980
CCTV-13,http://111.165.222.109:8000/rtp/225.1.2.193:5002
CCTV-13,http://171.105.201.164:4022/rtp/239.81.0.206:4056
CCTV-13,http://171.213.133.3:9999/rtp/239.93.0.66:5140
CCTV-13,http://114.246.102.14:4000/rtp/239.3.1.124:8128
CCTV-13,http://27.11.56.206:8007/rtp/225.0.4.219:7980
CCTV-14,http://60.7.56.33:4000/rtp/239.253.92.198:6063$1920x1080
CCTV-14,http://sweetown.fun:4000/rtp/239.3.1.65:8132$1920x1080
CCTV-14,http://111.193.230.4:4022/rtp/239.3.1.65:8132
CCTV-14,http://115.60.241.249:2000/rtp/225.1.4.80:1109
CCTV-14,http://115.60.241.249:2000/rtp/225.1.4.14:1043
CCTV-14,http://118.81.48.104:8082/rtp/226.0.2.166:9240
CCTV-14,http://118.81.48.104:8082/rtp/226.0.2.31:8160
CCTV-14,http://27.10.76.34:8001/rtp/225.0.4.128:7980
CCTV-14,http://27.10.76.34:8006/rtp/225.0.4.128:7980
CCTV-14,http://27.10.74.78:8005/rtp/225.0.4.128:7980
CCTV-14,http://111.165.222.109:8000/rtp/225.1.1.144:5002
CCTV-14,http://171.105.201.164:4022/rtp/239.81.0.25:4056
CCTV-14,http://114.246.102.14:4000/rtp/239.3.1.65:8132
CCTV-14,http://27.11.56.206:8007/rtp/225.0.4.128:7980
CCTV-14,http://171.116.35.81:8003/rtp/226.0.2.166:9240
CCTV-15,http://60.7.56.33:4000/rtp/239.253.93.154:6322$1920x1080
CCTV-15,http://sweetown.fun:4000/rtp/239.3.1.153:8136$1920x1080
CCTV-15,http://111.193.230.4:4022/rtp/239.3.1.153:8136
CCTV-15,http://115.60.241.249:2000/rtp/225.1.4.216:1269
CCTV-15,http://115.60.241.249:2000/rtp/225.1.4.15:1044
CCTV-15,http://118.81.48.104:8082/rtp/226.0.2.32:8168
CCTV-15,http://27.10.76.34:8001/rtp/225.0.4.220:7980
CCTV-15,http://27.10.76.34:8006/rtp/225.0.4.220:7980
CCTV-15,http://27.10.74.78:8005/rtp/225.0.4.220:7980
CCTV-15,http://111.165.222.109:8000/rtp/225.1.2.194:5002
CCTV-15,http://171.105.201.164:4022/rtp/239.81.0.27:4056
CCTV-15,http://171.213.133.3:9999/rtp/239.93.0.103:5140
CCTV-15,http://114.246.102.14:4000/rtp/239.3.1.153:8136
CCTV-15,http://27.11.56.206:8007/rtp/225.0.4.220:7980
CCTV-15,http://171.116.35.81:8003/rtp/226.0.2.32:8168
CCTV-16,http://111.193.230.4:4022/rtp/239.3.1.183:8001
CCTV-16,http://111.193.230.4:4022/rtp/239.3.1.184:8001
CCTV-16,http://115.60.241.249:2000/rtp/225.1.5.46:1356
CCTV-16,http://118.81.48.104:8082/rtp/226.0.2.169:9264
