
央视频道,#genre#
CCTV-14,http://222.71.95.178:9901/tsfile/live/0001_14.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14,http://58.48.5.186:1111/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14,http://218.87.237.106:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-14,http://123.145.31.145:8003/rtp/225.0.4.128:7980
CCTV-14,http://218.87.237.105:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-15,http://117.67.8.236:4000/rtp/238.1.78.222:7648
CCTV-15,http://171.213.195.171:5555/rtp/239.93.0.103:5140
CCTV-15,http://60.7.56.33:4000/rtp/239.253.93.154:6322
CCTV-15,http://sweetown.fun:4000/rtp/239.3.1.153:8136
CCTV-15,http://61.136.172.236:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://59.173.243.210:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://113.57.20.158:9901/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://223.159.9.237:8099/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-15,http://117.27.190.42:9998/tsfile/live/23246_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://58.19.38.162:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://119.98.175.25:85/rtp/239.69.1.155:10566
CCTV-15,http://222.71.95.178:9901/tsfile/live/0001_15.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://58.48.5.186:1111/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://218.87.237.106:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-15,http://36.35.16.98:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-16,http://114.243.99.53:4000/rtp/239.3.1.184:8001$1920x1080
CCTV-16,http://sweetown.fun:4000/rtp/239.3.1.183:8001
CCTV-16,http://sweetown.fun:4000/rtp/239.3.1.184:8001
CCTV-16,http://59.173.243.210:9901/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-16,http://117.27.190.42:9998/tsfile/live/23249_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-16,http://119.98.175.25:85/rtp/239.69.1.247:11124
CCTV-16,http://117.32.85.224:8014/rtp/239.111.205.134:5140
CCTV-16,http://114.243.105.128:8822/rtp/239.3.1.183:8001
CCTV-16,http://114.243.105.128:8822/rtp/239.3.1.184:8001
CCTV-16,http://114.243.98.187:8822/rtp/239.3.1.183:8001
CCTV-16,http://114.243.98.187:8822/rtp/239.3.1.184:8001
CCTV-16,http://114.243.111.71:8822/rtp/239.3.1.183:8001
CCTV-16,http://114.243.111.71:8822/rtp/239.3.1.184:8001
CCTV-16,http://114.243.101.49:8822/rtp/239.3.1.183:8001
CCTV-16,http://114.243.101.49:8822/rtp/239.3.1.184:8001
CCTV-17,http://117.67.8.236:4000/rtp/238.1.78.178:7296
CCTV-17,http://171.213.195.171:5555/rtp/239.93.0.92:5140
CCTV-17,http://60.7.56.33:4000/rtp/239.253.93.150:6318
CCTV-17,http://sweetown.fun:4000/rtp/239.3.1.151:8144
CCTV-17,http://59.173.243.210:9901/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-17,http://113.57.20.158:9901/tsfile/live/1047_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-17,http://117.27.190.42:9998/tsfile/live/23247_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-17,http://119.98.175.25:85/rtp/239.69.1.152:10548
CCTV-17,http://222.71.95.178:9901/tsfile/live/0001_16.m3u8?key=txiptv&playlive=1&authid=0
CCTV-17,http://58.48.5.186:1111/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-17,http://36.35.16.98:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-17,http://123.145.31.145:8003/rtp/225.0.4.179:7980
CCTV-17,http://117.32.85.224:8014/rtp/239.112.205.211:5140
CCTV-17,http://183.166.124.43:8888/rtp/238.1.78.178:7296
CCTV-17,http://114.243.105.128:8822/rtp/239.3.1.151:8144
CCTV16 4K,http://175.9.161.75:9999/udp/239.76.246.214:1234
CCTV16 4K,http://175.9.161.75:9999/udp/239.76.253.214:9000
CCTV16 4K,http://175.9.161.75:9999/udp/239.76.253.224:9000
CCTV16 4K,http://175.9.161.75:9999/udp/239.76.253.230:9000
CCTV16 4K,http://175.9.161.75:9999/udp/239.76.254.200:9000
CCTV16 4K,http://175.9.161.87:9999/udp/239.76.246.214:1234
CCTV16 4K,http://175.9.161.87:9999/udp/239.76.253.214:9000
CCTV16 4K,http://175.9.161.87:9999/udp/239.76.253.224:9000
CCTV16 4K,http://175.9.161.87:9999/udp/239.76.253.230:9000
CCTV16 4K,http://175.9.161.87:9999/udp/239.76.254.200:9000
CCTV16 4k,http://175.9.161.75:9999/udp/239.76.246.224:1234
CCTV16 4k,http://175.9.161.75:9999/udp/239.76.246.230:1234
CCTV16 4k,http://175.9.161.87:9999/udp/239.76.246.224:1234
CCTV16 4k,http://175.9.161.87:9999/udp/239.76.246.230:1234
CCTV4K,http://www.yao87.com:4022/udp/239.76.253.214:9000
CCTV8K,http://www.yao87.com:4022/udp/239.76.253.214:9000
第一剧场,http://www.yao87.com:4022/udp/239.76.254.49:9000
风云足球,http://www.yao87.com:4022/udp/239.76.254.52:9000
风云音乐,http://www.yao87.com:4022/udp/239.76.254.51:9000
风云剧场,http://www.yao87.com:4022/udp/239.76.254.50:9000
女性时尚,http://www.yao87.com:4022/udp/239.76.254.55:9000
文化精品,http://www.yao87.com:4022/udp/239.76.254.56:9000
世界地理,http://www.yao87.com:4022/udp/239.76.254.57:9000
兵器科技,http://www.yao87.com:4022/udp/239.76.254.59:9000
央视台球,http://www.yao87.com:4022/udp/239.76.254.58:9000
怀旧剧场,http://www.yao87.com:4022/udp/239.76.254.53:9000

CGTN,http://www.yao87.com:4022/udp/239.76.252.66:9000
CGTN纪录,http://www.yao87.com:4022/udp/239.76.252.67:9000
CGTN阿语,http://www.yao87.com:4022/udp/239.76.246.97:1234

CETV1,http://www.yao87.com:4022/udp/239.76.252.192:9000
CETV2,http://123.6.102.32:11789/990.php?id=cetv2/2500000.m3u8
CETV3,http://123.6.102.32:11789/990.php?id=zgjy1t8m/8000000.m3u8
CETV4,http://123.6.102.32:11789/990.php?id=zgjy4hd8m/8000000.m3u8

卫视频道,#genre#
湖南卫视,http://117.67.8.236:4000/rtp/238.1.78.160:7152
湖南卫视,http://171.213.195.171:5555/rtp/239.93.0.88:5140
湖南卫视,http://60.7.56.33:4000/rtp/239.253.92.84:8015
湖南卫视,http://sweetown.fun:4000/rtp/239.3.1.132:8012
